LSOA Code,Total
E01000572,1
E01000574,1
E01000575,20
E01000576,2
E01000577,5
E01000578,65
E01000579,3
E01000580,19
E01000581,5
E01000583,25
E01000584,3
E01000585,4
E01000586,95
E01000587,2
E01000589,9
E01000591,31
E01000592,5
E01000593,1
E01000594,14
E01000595,7
E01000596,3
E01000599,9
E01000601,18
E01000602,4
E01000603,2
E01000604,1
E01000605,4
E01000606,1
E01000607,2
E01000608,26
E01000609,2
E01000610,2
E01000611,4
E01000612,12
E01000613,4
E01000615,66
E01000616,12
E01000617,41
E01000618,4
E01000619,4
E01000620,16
E01000621,22
E01000623,3
E01000624,2
E01000625,5
E01000626,7
E01000627,7
E01000628,12
E01000629,1
E01000630,115
E01000631,8
E01000632,42
E01000633,157
E01000634,17
E01000636,44
E01000638,16
E01000639,4
E01000640,29
E01000641,5
E01000642,56
E01000643,13
E01000644,18
E01000645,1
E01000646,3
E01000647,1
E01000648,5
E01000649,2
E01000650,2
E01000652,1
E01000654,2
E01000657,1
E01000658,1
E01000661,6
E01000662,3
E01000663,3
E01000664,1
E01000665,1
E01000666,1
E01000667,4
E01000668,6
E01000670,1
E01000671,3
E01000672,1
E01000674,2
E01000676,272
E01000677,154
E01000678,5
E01000679,2
E01000680,1
E01000683,4
E01000684,1
E01000687,4
E01000689,2
E01000690,2
E01000691,1
E01000692,3
E01000693,4
E01000694,1
E01000695,2
E01000696,3
E01000698,1
E01000699,2
E01000701,5
E01000702,1
E01000703,2
E01000704,1
E01000705,2
E01000706,1
E01000708,1
E01000709,5
E01000710,3
E01000711,2
E01000712,1
E01000713,3
E01000714,33
E01000715,2
E01000717,3
E01000718,2
E01000719,5
E01000720,2
E01000721,2
E01000722,4
E01000724,2
E01000725,5
E01000727,5
E01000728,5
E01000729,4
E01000730,8
E01000733,1
E01000735,4
E01000736,1
E01000737,4
E01000738,5
E01000739,5
E01000741,3
E01000742,3
E01000743,4
E01000744,1
E01000745,5
E01000746,1
E01000747,2
E01000748,1
E01000750,1
E01000751,10
E01000752,5
E01000753,1
E01000754,1
E01000755,1
E01000756,3
E01000759,3
E01000760,1
E01000761,1
E01000762,1
E01000763,2
E01000764,2
E01000765,9
E01000768,1
E01000769,7
E01000770,4
E01000771,3
E01000774,2
E01000775,2
E01000777,1
E01000778,1
E01000779,7
E01000780,2
E01000781,2
E01000782,9
E01000783,1
E01000784,2
E01000785,4
E01000786,1
E01000787,1
E01000788,2
E01000790,67
E01000792,3
E01000796,4
E01000797,4
E01000798,3
E01000799,19
E01000800,7
E01000801,2
E01000802,3
E01000803,3
E01000804,1
E01000805,4
E01000806,10
E01000807,3
E01000810,2
E01000812,2
E01000813,1
E01000815,4
E01000816,4
E01000819,9
E01000820,2
E01000823,2
E01000824,8
E01000825,2
E01000826,3
E01000827,1
E01000828,5
E01000829,3
E01000830,1
E01000831,1
E01000834,1
E01000835,11
E01000836,1
E01000837,3
E01000838,1
E01000840,1
E01000841,3
E01000842,10
E01000843,11
E01000844,36
E01000845,36
E01000846,17
E01000847,27
E01000848,33
E01000849,45
E01000850,782
E01000851,320
E01000853,106
E01000855,1180
E01000856,136
E01000857,17
E01000858,275
E01000859,36
E01000860,22
E01000861,226
E01000862,234
E01000863,1139
E01000866,32
E01000867,51
E01000868,11
E01000869,28
E01000870,22
E01000871,6
E01000872,19
E01000873,1
E01000874,7
E01000875,14
E01000876,7
E01000877,12
E01000878,5
E01000879,18
E01000880,1
E01000881,25
E01000882,36
E01000883,97
E01000884,3
E01000886,15
E01000887,30
E01000888,11
E01000889,11
E01000890,14
E01000891,17
E01000892,25
E01000893,16
E01000894,30
E01000895,56
E01000896,44
E01000897,29
E01000898,141
E01000899,18
E01000900,32
E01000901,31
E01000902,26
E01000903,20
E01000904,108
E01000905,39
E01000906,72
E01000907,4
E01000908,6
E01000909,14
E01000910,15
E01000911,5
E01000912,35
E01000913,34
E01000914,777
E01000915,32
E01000916,156
E01000917,63
E01000918,656
E01000919,2115
E01000920,75
E01000921,79
E01000922,40
E01000923,6
E01000924,9
E01000925,9
E01000926,19
E01000927,47
E01000928,22
E01000929,10
E01000930,118
E01000931,112
E01000932,8
E01000933,63
E01000934,13
E01000935,6
E01000937,71
E01000938,116
E01000939,143
E01000941,45
E01000942,212
E01000943,109
E01000944,13
E01000946,211
E01000947,718
E01000948,67
E01000949,11
E01000951,11
E01000952,19
E01000954,18
E01000955,32
E01000956,237
E01000957,14
E01000958,62
E01000959,32
E01000960,129
E01000961,12
E01000962,13
E01000963,173
E01000964,22
E01000965,11
E01000966,6
E01000967,15
E01000968,12
E01000969,41
E01000970,13
E01000971,2
E01000972,182
E01000973,120
E01000974,17
E01000975,11
E01000976,9
E01000977,4
E01000979,3
E01000980,3
E01000981,5
E01000984,1
E01000985,2
E01000986,7
E01000987,3
E01000989,2
E01000990,2
E01000992,2
E01000993,2
E01000994,4
E01000995,8
E01000996,4
E01000997,3
E01000998,3
E01000999,4
E01001000,9
E01001001,1
E01001002,2
E01001003,4
E01001004,4
E01001005,13
E01001006,6
E01001007,3
E01001008,4
E01001010,19
E01001011,23
E01001012,6
E01001013,101
E01001016,7
E01001018,2
E01001019,2
E01001020,1
E01001023,8
E01001026,1
E01001028,1
E01001030,1
E01001031,1
E01001032,1
E01001033,2
E01001034,4
E01001035,2
E01001036,2
E01001037,3
E01001041,2
E01001042,24
E01001044,1
E01001046,3
E01001047,7
E01001049,2
E01001050,3
E01001051,2
E01001052,2
E01001053,2
E01001054,1
E01001055,4
E01001056,4
E01001057,1
E01001058,1
E01001061,4
E01001062,3
E01001063,3
E01001064,6
E01001065,3
E01001068,1
E01001073,2
E01001074,3
E01001075,3
E01001076,7
E01001077,1
E01001078,1
E01001079,2
E01001081,1
E01001082,3
E01001083,6
E01001084,5
E01001085,12
E01001086,10
E01001087,20
E01001088,2
E01001089,12
E01001090,2
E01001091,3
E01001092,5
E01001093,1
E01001094,2
E01001095,2
E01001097,26
E01001100,2
E01001102,2
E01001103,2
E01001104,1
E01001109,8
E01001110,3
E01001111,8
E01001112,3
E01001113,7
E01001114,4
E01001115,3
E01001116,11
E01001118,15
E01001122,1
E01001123,4
E01001124,1
E01001125,7
E01001127,1
E01001129,1
E01001130,2
E01001131,1
E01001132,1
E01001133,8
E01001134,2
E01001135,4
E01001136,17
E01001137,3
E01001138,1
E01001139,1
E01001140,5
E01001142,6
E01001143,1
E01001145,7
E01001146,2
E01001147,2
E01001148,6
E01001149,1
E01001150,4
E01001151,3
E01001152,11
E01001153,2
E01001154,11
E01001155,25
E01001156,9
E01001157,8
E01001158,2
E01001159,2
E01001160,8
E01001161,6
E01001162,4
E01001163,7
E01001164,13
E01001165,3
E01001166,4
E01001167,12
E01001168,4
E01001169,4
E01001170,7
E01001171,1
E01001172,14
E01001173,5
E01001174,3
E01001175,5
E01001176,4
E01001177,4
E01001178,16
E01001179,3
E01001180,9
E01001181,6
E01001182,2
E01001183,17
E01001184,2
E01001186,2
E01001187,6
E01001188,1
E01001189,1
E01001190,1
E01001191,4
E01001192,5
E01001193,3
E01001194,4
E01001195,4
E01001196,2
E01001197,3
E01001199,3
E01001200,7
